round,agent_id,avg_distance,label
49,benign_1,4.442887640009856,benign
49,benign_2,4.447552381520423,benign
49,benign_3,4.44346614158067,benign
49,malicious_1,12.330026205040388,isolated
50,benign_1,4.513714178895683,benign
50,benign_2,4.514012562647271,benign
50,benign_3,4.512157655018092,benign
50,malicious_1,12.472754739314821,isolated
51,benign_3,4.546368859111925,benign
51,benign_1,4.5450638580700025,benign
51,benign_2,4.551710277652837,benign
51,malicious_1,12.627106693224098,isolated
52,benign_1,4.604452310893805,benign
52,benign_2,4.602739082166724,benign
52,benign_3,4.606892139056525,benign
52,malicious_1,12.772291754591222,isolated
53,benign_1,4.643229620932794,benign
53,benign_2,4.643056658185408,benign
53,benign_3,4.649420192813161,benign
53,malicious_1,12.91687575721201,isolated
54,benign_1,4.697252710052175,benign
54,benign_2,4.689699488544107,benign
54,benign_3,4.6955345862874145,benign
54,malicious_1,13.047612986187566,isolated
55,benign_1,4.727631238913111,benign
55,benign_2,4.726532232065064,benign
55,benign_3,4.722254321504319,benign
55,malicious_1,13.164036614083608,isolated
56,benign_1,4.784381173409745,benign
56,benign_2,4.778664570588623,benign
56,benign_3,4.7769204796984965,benign
56,malicious_1,13.305614476087207,isolated
57,benign_1,4.828204017602121,benign
57,benign_2,4.835015940663285,benign
57,benign_3,4.828548033549093,benign
57,malicious_1,13.450286128470267,isolated
58,benign_1,4.880309822977991,benign
58,benign_2,4.874085424045545,benign
58,benign_3,4.878143442391447,benign
58,malicious_1,13.581946742330816,isolated
59,benign_1,4.918717030434688,benign
59,benign_2,4.917177065631575,benign
59,benign_3,4.92591596336417,benign
59,malicious_1,13.71881074886251,isolated
60,benign_1,4.968948453683786,benign
60,benign_2,4.959801367560384,benign
60,benign_3,4.969529659441793,benign
60,malicious_1,13.83498070655038,isolated
61,benign_1,4.997866262853359,benign
61,benign_2,4.999298160622771,benign
61,benign_3,5.001828670607909,benign
61,malicious_1,13.976650175417971,isolated
62,benign_1,5.035829140874427,benign
62,benign_2,5.034215651202666,benign
62,benign_3,5.040845431153714,benign
62,malicious_1,14.108807236404388,isolated
63,benign_1,5.097542027368839,benign
63,benign_2,5.085724317253429,benign
63,benign_3,5.098149151711368,benign
63,malicious_1,14.22441983084086,isolated
64,benign_1,5.152307202958618,benign
64,benign_2,5.146500995838229,benign
64,benign_3,5.141288364423528,benign
64,malicious_1,14.362422104476396,isolated
65,benign_1,5.1767554849966775,benign
65,benign_2,5.176966547577783,benign
65,benign_3,5.1820308842833285,benign
65,malicious_1,14.465326562053074,isolated
66,benign_1,5.20335612826699,benign
66,benign_2,5.207680126282546,benign
66,benign_3,5.2094515130847,benign
66,malicious_1,14.588874356274353,isolated
67,benign_1,5.24797542249586,benign
67,benign_2,5.240350105599293,benign
67,benign_3,5.250801099649597,benign
67,malicious_1,14.705089822254509,isolated
68,benign_1,5.283139714589322,benign
68,benign_2,5.28750214873726,benign
68,benign_3,5.293733891431866,benign
68,malicious_1,14.815122028286547,isolated
69,benign_1,5.348238871443695,benign
69,benign_2,5.34456815495416,benign
69,benign_3,5.350165299601142,benign
69,malicious_1,14.93686782581461,isolated
70,benign_1,5.348933909381959,benign
70,benign_2,5.346564810975145,benign
70,benign_3,5.357034383232523,benign
70,malicious_1,15.064143195377738,isolated
71,benign_1,5.394943396818807,benign
71,benign_2,5.390276124794981,benign
71,benign_3,5.386182304042834,benign
71,malicious_1,15.18029094357667,isolated
72,benign_1,5.447117834778321,benign
72,benign_2,5.441198643853991,benign
72,benign_3,5.434777737350394,benign
72,malicious_1,15.280935023395573,isolated
73,benign_1,5.46968695522375,benign
73,benign_2,5.470781827142827,benign
73,benign_3,5.465802612130162,benign
73,malicious_1,15.416571954459153,isolated
74,benign_1,5.525971848635588,benign
74,benign_2,5.526299674729041,benign
74,benign_3,5.530834278599612,benign
74,malicious_1,15.547208780983416,isolated
75,benign_1,5.568279657844921,benign
75,benign_2,5.557838325220165,benign
75,benign_3,5.5564822821620234,benign
75,malicious_1,15.689832958408488,isolated
76,benign_1,5.618578917729143,benign
76,benign_2,5.622447171844722,benign
76,benign_3,5.6223853941426105,benign
76,malicious_1,15.800273728850678,isolated
77,benign_1,5.645468199182328,benign
77,benign_2,5.653177957016986,benign
77,benign_3,5.649563876472108,benign
77,malicious_1,15.894267707006682,isolated
78,benign_1,5.683577141815935,benign
78,benign_2,5.675804956165018,benign
78,benign_3,5.678600262257297,benign
78,malicious_1,16.011878738509893,isolated
79,benign_1,5.721916283286057,benign
79,benign_2,5.707905645483488,benign
79,benign_3,5.728349904594318,benign
79,malicious_1,16.134210935574174,isolated
80,benign_1,5.762156112838483,benign
80,benign_2,5.772713009604868,benign
80,benign_3,5.76099557811656,benign
80,malicious_1,16.252780007121537,isolated
81,benign_1,5.790785586767972,benign
81,benign_2,5.782963827712219,benign
81,benign_3,5.782040232946787,benign
81,malicious_1,16.362780373828148,isolated
82,benign_1,5.833782698942065,benign
82,benign_2,5.835095091682628,benign
82,benign_3,5.831427183722627,benign
82,malicious_1,16.464189720528157,isolated
83,benign_1,5.870035586896299,benign
83,benign_2,5.87093047545785,benign
83,benign_3,5.877198215507572,benign
83,malicious_1,16.56997157598042,isolated
84,benign_1,5.9039026566175545,benign
84,benign_2,5.90631591173289,benign
84,benign_3,5.893765755931484,benign
84,malicious_1,16.680900524707024,isolated
85,benign_3,5.933075461294247,benign
85,benign_2,5.939178994825602,benign
85,benign_1,5.935165710925335,benign
85,malicious_1,16.78824779414715,isolated
86,benign_1,5.981455732572623,benign
86,benign_2,5.974355020405201,benign
86,malicious_1,16.902523569165954,isolated
86,benign_3,5.97564940089955,benign
87,benign_1,6.006454133946881,benign
87,benign_2,6.020561239720332,benign
87,benign_3,6.01080585544823,benign
87,malicious_1,17.00303758585164,isolated
88,benign_1,6.072212157663501,benign
88,benign_2,6.067901284141719,benign
88,benign_3,6.065643989937555,benign
88,malicious_1,17.122692524012653,isolated
89,benign_1,6.094392292818271,benign
89,benign_2,6.097984911315,benign
89,benign_3,6.102672122150831,benign
89,malicious_1,17.233508426814726,isolated
90,benign_1,6.118615245463406,benign
90,benign_2,6.116371284663402,benign
90,benign_3,6.1191551902210195,benign
90,malicious_1,17.335900219490128,isolated
91,benign_1,6.163614467160706,benign
91,benign_2,6.150391190214346,benign
91,benign_3,6.1622996211681,benign
91,malicious_1,17.421272519731534,isolated
92,benign_1,6.211930301438721,benign
92,benign_2,6.201706950976077,benign
92,benign_3,6.20828702675247,benign
92,malicious_1,17.55679088977689,isolated
93,benign_3,6.240072798112309,benign
93,benign_1,6.233624249817409,benign
93,benign_2,6.246013812899384,benign
93,malicious_1,17.670041202076614,isolated
94,benign_1,6.255002239246116,benign
94,benign_2,6.248120301550412,benign
94,benign_3,6.253822559120368,benign
94,malicious_1,17.77479302265731,isolated
